norad,count
18549,10734
18727,14224
19027,8317
19128,13725
19242,6903
19425,6509
19640,7424
20797,15450
6065,14422
20885,14546
21015,15018
21294,13739
21338,13297
21344,6720
21361,11283
21388,12867
21469,9369
21724,12934
21785,13124
333,16902
17233,16247
17018,9407
20100,7020
20359,9736
23261,8158
23263,3989
17107,16394
26441,10342
2989,16015
3051,12394
3346,14655
15596,16113
4135,16290
7930,13796
12225,15845
19997,6070
4913,14959
26225,10728
24705,11968
17717,12901
5447,14636
5498,14783
5599,14625
25876,11963
6061,16879
6149,17055
6683,15115
7061,14966
7127,14848
7128,14642
7559,12469
24941,7568
8142,20558
8299,18001
8438,17954
8745,10682
1477,15198
9956,9246
10305,14904
10395,16577
10466,13140
10577,14899
4756,14319
10756,16435
10824,18331
10866,14131
10877,15076
10880,14542
26311,6931
12183,16369
12373,14759
4746,17108
27571,3566
12539,16552
12675,15038
12772,16131
26320,5322
22806,12203
463,16171
26504,4638
27728,4426
12868,15068
26507,1444
127,17799
4683,15273
4990,16126
8136,17209
22431,9204
26508,4928
18693,11487
25189,4278
19512,7402
19824,3576
26839,6194
19229,16223
1668,15148
26509,4952
26550,10941
805,15370
5574,15025
3271,16836
3164,15606
5036,16079
6823,13066
4660,14835
21842,7121
10677,16752
26028,8268
22237,14622
20912,14396
21328,11387
4160,17825
25138,9921
22699,14052
4673,14454
22568,12185
4008,17915
656,13137
26221,7407
24340,11212
7063,16546
12072,13644
14966,15516
649,13697
27097,10979
13553,16584
18519,13460
4005,14670
7939,12707
24286,9245
474,17803
3599,13051
3788,13387
3975,12036
23492,6994
4207,16944
559,16264
3591,16329
20967,8014
28051,1305
26226,2966
9698,9872
26505,3506
16866,12785
4611,16135
10183,15044
12708,16835
14033,16615
27474,3115
26166,5086
15506,14676
27476,8764
14463,14005
6216,16908
7045,14136
6250,9447
17426,12825
6747,11227
27068,6521
7018,15170
7022,16056
7126,15348
7149,14672
22368,12889
27569,3668
27701,960
27083,1356
8861,16288
25979,11996
9721,18473
27131,1471
243,16979
22352,14398
3843,15554
3740,7597
13473,15339
17650,9592
14461,13230
22007,14664
5795,11879
9697,11180
22554,10277
232,17280
26960,11131
4318,13428
21109,14339
10843,13012
21271,13507
12538,14963
2226,14463
4555,14436
8402,11305
4735,16401
26503,5115
21358,12319
1964,15008
10355,15255
419,14197
10449,14048
10464,13738
10513,16328
10566,15469
4971,15293
4842,18988
124,17641
11631,11784
13476,16173
10470,16412
10706,16919
27149,5992
27154,4591
8956,15840
7137,14820
11136,15268
5730,19763
5322,13843
12404,15132
27387,10376
12667,15685
26168,9629
1425,15124
10650,14484
13803,16493
22547,12257
11586,15857
18731,15642
7210,16799
4322,14612
